dist=  12.3 cm | feature=0.0518 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.4% | 0 ms
dist=  12.3 cm | feature=0.0521 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.5% | 0 ms
dist=  12.5 cm | feature=0.0532 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.6% | 0 ms
dist=  12.9 cm | feature=0.0550 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.7% | 0 ms
dist=  13.1 cm | feature=0.0562 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.8% | 0 ms
dist=  13.3 cm | feature=0.0573 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.9% | 0 ms
dist=  13.6 cm | feature=0.0588 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.9% | 0 ms
dist=  13.7 cm | feature=0.0593 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=93.0% | 0 ms
dist=  14.0 cm | feature=0.0607 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=93.1% | 0 ms
dist=  14.2 cm | feature=0.0617 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=93.2% | 0 ms
dist=  14.4 cm | feature=0.0628 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=93.3% | 0 ms
dist=  14.6 cm | feature=0.0639 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=93.3% | 0 ms
dist=  14.9 cm | feature=0.0654 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=93.4% | 0 ms
dist=  15.1 cm | feature=0.0660 | modelo=PERTO ( 98%) | regra=PERTO | OK   | concordancia=93.5% | 0 ms
dist=  15.3 cm | feature=0.0669 | modelo=PERTO ( 98%) | regra=PERTO | OK   | concordancia=93.5% | 0 ms
dist=  15.4 cm | feature=0.0679 | modelo=PERTO ( 98%) | regra=PERTO | OK   | concordancia=93.6% | 0 ms
dist=  15.7 cm | feature=0.0693 | modelo=PERTO ( 98%) | regra=PERTO | OK   | concordancia=93.7% | 0 ms
dist=  16.0 cm | feature=0.0708 | modelo=PERTO ( 98%) | regra=PERTO | OK   | concordancia=93.8% | 0 ms
dist=  16.3 cm | feature=0.0723 | modelo=PERTO ( 98%) | regra=PERTO | OK   | concordancia=93.8% | 0 ms
dist=  16.6 cm | feature=0.0738 | modelo=PERTO ( 95%) | regra=PERTO | OK   | concordancia=93.9% | 0 ms
dist=  16.9 cm | feature=0.0752 | modelo=PERTO ( 95%) | regra=PERTO | OK   | concordancia=93.9% | 0 ms
dist=  17.0 cm | feature=0.0760 | modelo=PERTO ( 95%) | regra=PERTO | OK   | concordancia=94.0% | 0 ms
dist=  17.2 cm | feature=0.0767 | modelo=PERTO ( 95%) | regra=PERTO | OK   | concordancia=94.1% | 0 ms
dist=  17.4 cm | feature=0.0778 | modelo=PERTO ( 94%) | regra=PERTO | OK   | concordancia=94.1% | 0 ms
dist=  17.6 cm | feature=0.0788 | modelo=PERTO ( 94%) | regra=PERTO | OK   | concordancia=94.2% | 0 ms
dist=  17.8 cm | feature=0.0798 | modelo=PERTO ( 94%) | regra=PERTO | OK   | concordancia=94.2% | 0 ms
dist=  18.0 cm | feature=0.0808 | modelo=PERTO ( 94%) | regra=PERTO | OK   | concordancia=94.3% | 0 ms
dist=  18.2 cm | feature=0.0818 | modelo=PERTO ( 90%) | regra=PERTO | OK   | concordancia=94.3% | 0 ms
dist=  18.4 cm | feature=0.0829 | modelo=PERTO ( 90%) | regra=PERTO | OK   | concordancia=94.4% | 0 ms
dist=  18.5 cm | feature=0.0836 | modelo=PERTO ( 90%) | regra=PERTO | OK   | concordancia=94.4% | 0 ms
dist=  18.8 cm | feature=0.0847 | modelo=PERTO ( 85%) | regra=PERTO | OK   | concordancia=94.5% | 0 ms
dist=  19.0 cm | feature=0.0857 | modelo=PERTO ( 85%) | regra=PERTO | OK   | concordancia=94.5% | 0 ms
dist=  19.3 cm | feature=0.0872 | modelo=PERTO ( 85%) | regra=PERTO | OK   | concordancia=94.6% | 0 ms
dist=  19.6 cm | feature=0.0887 | modelo=PERTO ( 78%) | regra=PERTO | OK   | concordancia=94.6% | 0 ms
dist=  19.9 cm | feature=0.0902 | modelo=PERTO ( 78%) | regra=PERTO | OK   | concordancia=94.7% | 0 ms
dist=  20.0 cm | feature=0.0910 | modelo=PERTO ( 78%) | regra=MEDIO | DIFF | concordancia=93.9% | 0 ms
dist=  20.3 cm | feature=0.0922 | modelo=PERTO ( 68%) | regra=MEDIO | DIFF | concordancia=93.0% | 0 ms
dist=  20.4 cm | feature=0.0931 | modelo=PERTO ( 68%) | regra=MEDIO | DIFF | concordancia=92.2% | 0 ms
dist=  20.6 cm | feature=0.0937 | modelo=PERTO ( 68%) | regra=MEDIO | DIFF | concordancia=91.5% | 0 ms
dist=  20.9 cm | feature=0.0954 | modelo=PERTO ( 68%) | regra=MEDIO | DIFF | concordancia=90.7% | 0 ms
dist=  21.2 cm | feature=0.0971 | modelo=PERTO ( 62%) | regra=MEDIO | DIFF | concordancia=89.9% | 0 ms
dist=  21.5 cm | feature=0.0985 | modelo=PERTO ( 62%) | regra=MEDIO | DIFF | concordancia=89.2% | 0 ms
dist=  21.9 cm | feature=0.1005 | modelo=PERTO ( 50%) | regra=MEDIO | DIFF | concordancia=88.4% | 0 ms
dist=  22.4 cm | feature=0.1031 | modelo=PERTO ( 50%) | regra=MEDIO | DIFF | concordancia=87.7% | 0 ms
dist=  22.7 cm | feature=0.1047 | modelo=MEDIO ( 68%) | regra=MEDIO | OK   | concordancia=87.8% | 0 ms
dist=  23.3 cm | feature=0.1073 | modelo=MEDIO ( 68%) | regra=MEDIO | OK   | concordancia=87.9% | 0 ms
dist=  23.8 cm | feature=0.1102 | modelo=MEDIO ( 68%) | regra=MEDIO | OK   | concordancia=88.0% | 0 ms
dist=  24.3 cm | feature=0.1125 | modelo=MEDIO ( 82%) | regra=MEDIO | OK   | concordancia=88.1% | 0 ms
dist=  24.7 cm | feature=0.1149 | modelo=MEDIO ( 88%) | regra=MEDIO | OK   | concordancia=88.2% | 0 ms
dist=  25.2 cm | feature=0.1171 | modelo=MEDIO ( 88%) | regra=MEDIO | OK   | concordancia=88.3% | 0 ms
dist=  25.6 cm | feature=0.1193 | modelo=MEDIO ( 92%) | regra=MEDIO | OK   | concordancia=88.4% | 0 ms
dist=  25.9 cm | feature=0.1208 | modelo=MEDIO ( 92%) | regra=MEDIO | OK   | concordancia=88.5% | 0 ms
dist=  26.2 cm | feature=0.1222 | modelo=MEDIO ( 94%) | regra=MEDIO | OK   | concordancia=88.5% | 0 ms
dist=  26.7 cm | feature=0.1249 | modelo=MEDIO ( 94%) | regra=MEDIO | OK   | concordancia=88.6% | 0 ms
dist=  27.2 cm | feature=0.1272 | modelo=MEDIO ( 96%) | regra=MEDIO | OK   | concordancia=88.7% | 0 ms
dist=  27.5 cm | feature=0.1287 | modelo=MEDIO ( 96%) | regra=MEDIO | OK   | concordancia=88.8% | 0 ms
dist=  27.8 cm | feature=0.1305 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=88.9% | 0 ms
dist=  28.4 cm | feature=0.1333 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=89.0% | 0 ms
dist=  28.4 cm | feature=0.1335 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=89.1% | 0 ms
dist=  28.7 cm | feature=0.1349 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=89.1% | 0 ms
dist=  29.0 cm | feature=0.1363 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=89.2% | 0 ms
dist=  29.4 cm | feature=0.1386 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=89.3% | 0 ms
dist=  29.8 cm | feature=0.1403 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=89.4% | 0 ms
dist=  30.2 cm | feature=0.1423 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=89.4% | 0 ms
